HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Type 1,Type 2,Legendary
45,49,49,65,65,45,1,9,13,0
60,62,63,80,80,60,1,9,13,0
80,82,83,100,100,80,1,9,13,0
80,100,123,122,120,80,1,9,13,0
39,52,43,60,50,65,1,6,17,0
58,64,58,80,65,80,1,6,17,0
78,84,78,109,85,100,1,6,7,0
78,130,111,130,85,100,1,6,2,0
78,104,78,159,115,100,1,6,7,0
44,48,65,50,64,43,1,17,17,0
59,63,80,65,80,58,1,17,17,0
79,83,100,85,105,78,1,17,17,0
79,103,120,135,115,78,1,17,17,0
45,30,35,20,20,45,1,0,17,0
50,20,55,25,25,30,1,0,17,0
60,45,50,90,80,70,1,0,7,0
40,35,30,20,20,50,1,0,13,0
45,25,50,25,25,35,1,0,13,0
65,90,40,45,80,75,1,0,13,0
65,150,40,15,80,145,1,0,13,0
40,45,40,35,35,56,1,12,7,0
63,60,55,50,50,71,1,12,7,0
83,80,75,70,70,101,1,12,7,0
83,80,80,135,80,121,1,12,7,0
30,56,35,25,35,72,1,12,17,0
55,81,60,50,70,97,1,12,17,0
40,60,30,31,31,70,1,12,7,0
65,90,65,61,61,100,1,12,7,0
35,60,44,40,54,55,1,13,17,0
60,90,69,65,79,80,1,13,17,0
35,55,40,50,50,90,1,3,17,0
60,90,55,90,80,110,1,3,17,0
50,75,85,20,30,40,1,10,17,0
75,100,110,45,55,65,1,10,17,0
55,47,52,40,40,41,1,13,17,0
70,62,67,55,55,56,1,13,17,0
90,92,87,75,85,76,1,13,10,0
46,57,40,40,40,50,1,13,17,0
61,72,57,55,55,65,1,13,17,0
81,102,77,85,75,85,1,13,10,0
70,45,48,60,65,35,1,4,17,0
95,70,73,95,90,60,1,4,17,0
38,41,40,50,65,65,1,6,17,0
73,76,75,81,100,100,1,6,17,0
115,45,20,45,25,20,1,12,4,0
140,70,45,85,50,45,1,12,4,0
40,45,35,30,40,55,1,13,7,0
75,80,70,65,75,90,1,13,7,0
45,50,55,75,65,30,1,9,13,0
60,65,70,85,75,40,1,9,13,0
75,80,85,110,90,50,1,9,13,0
35,70,55,45,55,25,1,0,9,0
60,95,80,60,80,30,1,0,9,0
60,55,50,40,55,45,1,0,13,0
70,65,60,90,75,90,1,0,13,0
10,55,25,35,45,95,1,10,17,0
35,90,50,50,70,120,1,10,17,0
40,45,35,40,40,90,1,12,17,0
65,70,60,65,65,115,1,12,17,0
50,52,48,65,50,55,1,17,17,0
80,82,78,95,80,85,1,17,17,0
40,80,35,35,45,70,1,5,17,0
65,105,60,60,70,95,1,5,17,0
55,70,45,70,50,60,1,6,17,0
90,110,80,100,80,95,1,6,17,0
40,50,40,40,40,90,1,17,17,0
65,65,65,50,50,90,1,17,17,0
90,95,95,70,90,70,1,17,5,0
25,20,15,105,55,90,1,14,17,0
40,35,30,120,70,105,1,14,17,0
55,50,45,135,95,120,1,14,17,0
55,50,65,175,100,150,1,14,17,0
70,80,50,35,35,35,1,5,17,0
80,100,70,50,60,45,1,5,17,0
90,130,80,65,85,55,1,5,17,0
50,75,35,70,30,40,1,9,13,0
65,90,50,85,45,55,1,9,13,0
80,105,65,100,70,70,1,9,13,0
40,40,35,50,100,70,1,17,13,0
80,70,65,80,120,100,1,17,13,0
40,80,100,30,30,20,1,15,10,0
55,95,115,45,45,35,1,15,10,0
80,120,130,55,65,45,1,15,10,0
50,85,55,65,65,90,1,6,17,0
65,100,70,80,80,105,1,6,17,0
90,65,65,40,40,15,1,17,14,0
95,75,110,100,80,30,1,17,14,0
95,75,180,130,80,30,1,17,14,0
25,35,70,95,55,45,1,3,16,0
50,60,95,120,70,70,1,3,16,0
52,77,55,58,62,60,1,12,7,0
35,85,45,35,35,75,1,12,7,0
60,110,70,60,60,105,1,12,7,0
65,45,55,45,70,45,1,17,17,0
90,70,80,70,95,70,1,17,11,0
80,80,50,40,50,25,1,13,17,0
105,105,75,65,100,50,1,13,17,0
30,65,100,45,25,40,1,17,17,0
50,95,180,85,45,70,1,17,11,0
30,35,30,100,35,80,1,8,13,0
45,50,45,115,55,95,1,8,13,0
60,65,60,130,75,110,1,8,13,0
60,65,80,170,95,130,1,8,13,0
35,45,160,30,45,70,1,15,10,0
60,48,45,43,90,42,1,14,17,0
85,73,70,73,115,67,1,14,17,0
30,105,90,25,25,50,1,17,17,0
55,130,115,50,50,75,1,17,17,0
40,30,50,55,55,100,1,3,17,0
60,50,70,80,80,145,1,3,17,0
60,40,80,60,45,40,1,9,14,0
95,95,85,125,70,55,1,9,14,0
50,50,95,40,50,35,1,10,17,0
60,80,110,50,80,45,1,10,17,0
50,120,53,35,110,87,1,5,17,0
50,105,79,35,110,76,1,5,17,0
90,55,75,60,75,30,1,12,17,0
40,65,95,60,45,35,1,13,17,0
65,90,120,85,70,60,1,13,17,0
80,85,95,30,30,25,1,10,15,0
105,130,120,45,45,40,1,10,15,0
250,5,5,35,105,50,1,12,17,0
65,55,115,100,40,60,1,9,17,0
105,95,80,40,80,90,1,12,17,0
105,125,100,60,100,100,1,12,17,0
30,40,70,70,25,60,1,17,17,0
55,65,95,95,45,85,1,17,17,0
45,67,60,35,50,63,1,17,17,0
80,92,65,65,80,68,1,17,17,0
30,45,55,70,55,85,1,17,17,0
60,75,85,100,85,115,1,17,14,0
40,45,65,100,120,90,1,14,4,0
70,110,80,55,80,105,1,0,7,0
65,50,35,115,95,95,1,11,14,0
65,83,57,95,85,105,1,3,17,0
65,95,57,100,85,93,1,6,17,0
65,125,100,55,70,85,1,0,17,0
65,155,120,65,90,105,1,0,7,0
75,100,95,40,70,110,1,12,17,0
20,10,55,15,20,80,1,17,17,0
95,125,79,60,100,81,1,17,7,0
95,155,109,70,130,81,1,17,1,0
130,85,80,85,95,60,1,17,11,0
48,48,48,48,48,48,1,12,17,0
55,55,50,45,65,55,1,12,17,0
130,65,60,110,95,65,1,17,17,0
65,65,60,110,95,130,1,3,17,0
65,130,60,95,110,65,1,6,17,0
65,60,70,85,75,40,1,12,17,0
35,40,100,90,55,35,1,15,18,0
70,60,125,115,70,55,1,15,18,0
30,80,90,55,45,55,1,15,18,0
60,115,105,65,70,80,1,15,18,0
80,105,65,60,75,130,1,15,7,0
80,135,85,70,95,150,1,15,7,0
160,110,65,65,110,30,1,12,17,0
90,85,100,95,125,85,1,11,7,1
90,90,85,125,90,100,1,3,7,1
90,100,90,125,85,90,1,6,7,1
41,64,45,50,50,50,1,2,17,0
61,84,65,70,70,70,1,2,17,0
91,134,95,100,100,80,1,2,7,0
106,110,90,154,90,130,1,14,17,1
106,190,100,154,100,130,1,14,5,1
106,150,70,194,120,140,1,14,17,1
100,100,100,100,100,100,1,14,17,0
45,49,65,49,65,45,2,9,17,0
60,62,80,63,80,60,2,9,17,0
80,82,100,83,100,80,2,9,17,0
39,52,43,60,50,65,2,6,17,0
58,64,58,80,65,80,2,6,17,0
78,84,78,109,85,100,2,6,17,0
50,65,64,44,48,43,2,17,17,0
65,80,80,59,63,58,2,17,17,0
85,105,100,79,83,78,2,17,17,0
35,46,34,35,45,20,2,12,17,0
85,76,64,45,55,90,2,12,17,0
60,30,30,36,56,50,2,12,7,0
100,50,50,81,96,70,2,12,7,0
40,20,30,40,80,55,2,0,7,0
55,35,50,55,110,85,2,0,7,0
40,60,40,40,40,30,2,0,13,0
70,90,70,60,65,40,2,0,13,0
85,90,80,70,80,130,2,13,7,0
75,38,38,56,56,67,2,17,3,0
125,58,58,76,76,67,2,17,3,0
20,40,15,35,35,60,2,3,17,0
50,25,28,45,55,15,2,4,17,0
